sample_id,mfcc_variance,spectral_centroid_shift,spectral_rolloff_anomaly,zero_crossing_rate_std,pitch_jitter_score,harmonic_to_noise_ratio,frequency_consistency,noise_pattern,ai_artifact_detected,is_synthetic,synthetic_confidence,trust_score,risk_level,verdict
AUD-20326,60.712,0.674,0.7299,0.0289,0.1062,23.7,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.8684,13,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20327,73.313,0.1724,0.0993,0.0887,0.3834,17.66,Natural,Organic,No,0,0.01,98,LOW,Authentic Voice Content
AUD-20328,78.646,0.2496,0.1784,0.0676,0.3377,16.24,Natural,Organic,No,0,0.09,91,LOW,Authentic Voice Content
AUD-20329,99.737,0.2119,0.2443,0.0673,0.7458,14.97,Natural,Organic,No,0,0.0796,86,LOW,Authentic Voice Content
AUD-20330,71.6,0.1297,0.2611,0.0737,0.3525,18.53,Natural,Organic,No,0,0.1085,86,LOW,Authentic Voice Content
AUD-20331,49.172,0.8277,0.7345,0.0334,0.1507,27.3,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.7958,23,HIGH,Synthetic Voice / Deepfake Audio
AUD-20332,85.686,0.2718,0.1603,0.106,0.4834,19.72,Natural,Organic,No,0,0.0985,94,LOW,Authentic Voice Content
AUD-20333,72.916,0.017,0.1545,0.0374,0.511,16.37,Natural,Organic,No,0,0.0917,93,LOW,Authentic Voice Content
AUD-20334,116.772,0.3508,0.0871,0.0614,0.4454,14.74,Natural,Organic,No,0,0.0894,97,LOW,Authentic Voice Content
AUD-20335,55.437,0.4803,0.9166,0.0324,0.1127,26.3,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8931,12,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20336,51.327,0.5352,0.5877,0.0222,0.1491,25.96,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9764,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20337,30.638,0.7929,0.5057,0.0322,0.093,26.48,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8235,15,HIGH,Synthetic Voice / Deepfake Audio
AUD-20338,72.176,0.2885,0.1561,0.1277,0.5365,13.49,Natural,Organic,No,0,0.0495,92,LOW,Authentic Voice Content
AUD-20339,42.8,0.6993,0.6401,0.0181,0.1012,30.98,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.7118,23,HIGH,Synthetic Voice / Deepfake Audio
AUD-20340,43.096,0.6721,0.8623,0.0264,0.0872,23.66,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.9633,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20341,63.675,0.2705,0.2366,0.1025,0.5044,17.92,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20342,85.762,0.3469,0.1171,0.0656,0.5057,19.06,Natural,Organic,No,0,0.0502,96,LOW,Authentic Voice Content
AUD-20343,37.912,0.671,0.8095,0.0315,0.1151,26.15,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.961,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20344,83.803,0.2825,0.1983,0.0929,0.4013,22.29,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20345,49.929,0.7796,0.6005,0.0237,0.0543,25.35,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.8415,23,HIGH,Synthetic Voice / Deepfake Audio
AUD-20346,54.433,0.2723,0.2364,0.0999,0.5395,21.7,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20347,59.337,0.8878,0.6684,0.0172,0.138,33.57,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8758,9,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20348,43.521,0.7053,0.8642,0.0222,0.0677,27.06,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.9189,8,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20349,74.308,0.17,0.115,0.0632,0.6632,17.8,Natural,Organic,No,0,0.01,98,LOW,Authentic Voice Content
AUD-20350,76.297,0.2237,0.2378,0.0889,0.4177,9.32,Natural,Organic,No,0,0.0969,90,LOW,Authentic Voice Content
AUD-20351,85.061,0.2092,0.1899,0.0725,0.3131,15.2,Natural,Organic,No,0,0.0474,91,LOW,Authentic Voice Content
AUD-20352,38.535,0.6907,0.6304,0.0288,0.1166,28.67,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.8041,21,HIGH,Synthetic Voice / Deepfake Audio
AUD-20353,101.834,0.1881,0.0665,0.0752,0.3603,15.45,Natural,Organic,No,0,0.0773,94,LOW,Authentic Voice Content
AUD-20354,29.181,0.8214,0.8158,0.034,0.0781,29.89,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.8774,18,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20355,97.695,0.3203,0.2554,0.0858,0.5528,16.11,Natural,Organic,No,0,0.1276,84,LOW,Authentic Voice Content
AUD-20356,106.717,0.323,0.2782,0.0703,0.3926,18.04,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20357,48.512,0.615,0.696,0.0221,0.1013,25.35,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.9611,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20358,115.617,0.0982,0.0881,0.1077,0.3395,19.05,Natural,Organic,No,0,0.0628,89,LOW,Authentic Voice Content
AUD-20359,129.695,0.076,0.182,0.0827,0.4144,18.25,Natural,Organic,No,0,0.0152,99,LOW,Authentic Voice Content
AUD-20360,44.711,0.3723,0.5006,0.0127,0.0914,26.91,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.9529,12,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20361,76.388,0.1092,0.1276,0.0976,0.652,15.65,Natural,Organic,No,0,0.0749,90,LOW,Authentic Voice Content
AUD-20362,89.229,0.245,0.1184,0.0927,0.4998,16.65,Natural,Organic,No,0,0.0257,92,LOW,Authentic Voice Content
AUD-20363,80.043,0.1865,0.215,0.0704,0.3452,14.03,Natural,Organic,No,0,0.0824,89,LOW,Authentic Voice Content
AUD-20364,24.211,0.7128,0.4938,0.0299,0.0588,33.92,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8197,18,HIGH,Synthetic Voice / Deepfake Audio
AUD-20365,73.598,0.2443,0.2023,0.0814,0.3006,11.23,Natural,Organic,No,0,0.01,94,LOW,Authentic Voice Content
AUD-20366,73.29,0.2467,0.2844,0.0807,0.5248,13.69,Natural,Organic,No,0,0.0899,93,LOW,Authentic Voice Content
AUD-20367,97.674,0.15,0.1876,0.0963,0.7196,21.47,Natural,Organic,No,0,0.1013,92,LOW,Authentic Voice Content
AUD-20368,111.13,0.1061,0.218,0.1106,0.2981,14.45,Natural,Organic,No,0,0.0246,98,LOW,Authentic Voice Content
AUD-20369,96.671,0.1977,0.0711,0.0696,0.4174,17.0,Natural,Organic,No,0,0.0166,93,LOW,Authentic Voice Content
AUD-20370,20.393,0.6293,0.6403,0.0313,0.1247,27.55,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.9293,7,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20371,34.293,0.6661,0.7587,0.0386,0.0723,22.13,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8987,16,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20372,33.84,0.631,0.7548,0.0082,0.1386,29.06,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9268,13,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20373,85.578,0.2925,0.2285,0.0651,0.6187,15.14,Natural,Organic,No,0,0.1516,81,LOW,Authentic Voice Content
AUD-20374,105.637,0.2075,0.2069,0.0664,0.5476,14.17,Natural,Organic,No,0,0.1086,89,LOW,Authentic Voice Content
AUD-20375,68.163,0.1169,0.1437,0.0946,0.2865,16.24,Natural,Organic,No,0,0.1027,90,LOW,Authentic Voice Content
AUD-20376,48.07,0.7896,0.8223,0.0195,0.1488,29.84,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.8554,9,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20377,40.317,0.7734,0.9365,0.0224,0.1427,25.16,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.7449,26,HIGH,Synthetic Voice / Deepfake Audio
AUD-20378,26.316,0.5438,0.7437,0.0225,0.147,27.8,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.922,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20379,106.743,0.1119,0.1428,0.0922,0.3809,17.17,Natural,Organic,No,0,0.1431,87,LOW,Authentic Voice Content
AUD-20380,55.555,0.3773,0.218,0.1046,0.6021,19.88,Natural,Organic,No,0,0.0883,92,LOW,Authentic Voice Content
AUD-20381,62.415,0.2045,0.1779,0.1267,0.6044,19.78,Natural,Organic,No,0,0.01,98,LOW,Authentic Voice Content
AUD-20382,37.793,0.8334,0.763,0.0361,0.1378,31.52,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.9025,8,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20383,110.905,0.2001,0.1793,0.1091,0.5247,14.53,Natural,Organic,No,0,0.0824,88,LOW,Authentic Voice Content
AUD-20384,35.317,0.758,0.5985,0.0411,0.1024,31.74,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8509,13,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20385,70.764,0.2532,0.2051,0.051,0.4094,13.08,Natural,Organic,No,0,0.0395,94,LOW,Authentic Voice Content
AUD-20386,105.206,0.3062,0.2094,0.079,0.6266,14.93,Natural,Organic,No,0,0.1329,85,LOW,Authentic Voice Content
AUD-20387,85.873,0.2417,0.2916,0.0682,0.5239,11.45,Natural,Organic,No,0,0.1154,85,LOW,Authentic Voice Content
AUD-20388,37.606,0.6382,0.5971,0.0238,0.1328,32.36,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.8564,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20389,38.097,0.9292,0.5467,0.0206,0.0967,22.92,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.8204,17,HIGH,Synthetic Voice / Deepfake Audio
AUD-20390,36.445,0.9679,0.795,0.0312,0.0846,24.64,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.955,5,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20391,39.934,0.6753,0.527,0.0238,0.1659,36.92,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20392,35.686,0.6139,0.8263,0.0353,0.1157,23.59,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.9374,10,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20393,80.02,0.2956,0.184,0.0864,0.4798,15.87,Natural,Organic,No,0,0.0691,91,LOW,Authentic Voice Content
AUD-20394,74.071,0.3065,0.1916,0.0923,0.5204,17.18,Natural,Organic,No,0,0.029,96,LOW,Authentic Voice Content
AUD-20395,98.741,0.2659,0.2723,0.0669,0.4988,15.52,Natural,Organic,No,0,0.0626,90,LOW,Authentic Voice Content
AUD-20396,84.686,0.2028,0.1442,0.0868,0.5819,18.5,Natural,Organic,No,0,0.0545,92,LOW,Authentic Voice Content
AUD-20397,24.368,0.7616,0.8258,0.0145,0.1507,29.85,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.795,31,HIGH,Synthetic Voice / Deepfake Audio
AUD-20398,32.625,0.5776,0.6089,0.0231,0.1387,32.49,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8828,14,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20399,33.229,0.9435,0.606,0.0235,0.1469,34.42,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20400,86.496,0.4401,0.0949,0.0939,0.5918,19.63,Natural,Organic,No,0,0.0515,92,LOW,Authentic Voice Content
AUD-20401,27.127,0.7334,0.6197,0.036,0.1204,33.51,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.7489,28,HIGH,Synthetic Voice / Deepfake Audio
AUD-20402,93.764,0.1893,0.29,0.069,0.6596,15.95,Natural,Organic,No,0,0.01,95,LOW,Authentic Voice Content
AUD-20403,54.288,0.9602,0.9352,0.032,0.0853,24.45,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20404,64.541,0.0567,0.0403,0.0923,0.4067,15.63,Natural,Organic,No,0,0.0313,95,LOW,Authentic Voice Content
AUD-20405,86.775,0.2231,0.117,0.0621,0.4846,10.68,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20406,59.085,0.4692,0.4867,0.0335,0.1696,31.76,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9658,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20407,64.464,0.2678,0.1619,0.0884,0.4656,22.81,Natural,Organic,No,0,0.0981,86,LOW,Authentic Voice Content
AUD-20408,42.571,0.8167,0.6537,0.013,0.1445,32.95,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.99,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20409,49.096,0.6774,0.6543,0.0338,0.1188,25.35,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8621,13,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20410,48.007,0.4854,0.7925,0.0194,0.0866,22.62,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.9178,5,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20411,70.16,0.149,0.1101,0.0972,0.4541,16.99,Natural,Organic,No,0,0.0254,95,LOW,Authentic Voice Content
AUD-20412,42.301,0.7155,0.7407,0.0209,0.1344,23.5,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8982,17,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20413,41.001,0.5712,0.6905,0.0302,0.1351,23.87,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.8819,13,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20414,53.488,0.6767,0.6285,0.0362,0.1392,29.93,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8409,8,HIGH,Synthetic Voice / Deepfake Audio
AUD-20415,35.145,0.6184,0.7487,0.0375,0.123,25.71,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.8156,22,HIGH,Synthetic Voice / Deepfake Audio
AUD-20416,105.418,0.2334,0.0718,0.0737,0.4501,12.94,Natural,Organic,No,0,0.0628,89,LOW,Authentic Voice Content
AUD-20417,76.536,0.1916,0.1839,0.0713,0.4473,19.61,Natural,Organic,No,0,0.0897,94,LOW,Authentic Voice Content
AUD-20418,32.628,0.6937,0.5624,0.0282,0.1283,30.02,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20419,31.495,0.7153,0.7599,0.0199,0.0986,29.6,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8483,25,HIGH,Synthetic Voice / Deepfake Audio
AUD-20420,49.055,0.4944,0.7144,0.0248,0.0534,34.34,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.9685,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20421,102.878,0.2919,0.243,0.0552,0.3439,16.09,Natural,Organic,No,0,0.089,92,LOW,Authentic Voice Content
AUD-20422,57.201,0.1467,0.1699,0.0948,0.3338,16.26,Natural,Organic,No,0,0.0631,95,LOW,Authentic Voice Content
AUD-20423,41.934,0.6545,0.6353,0.0276,0.1568,27.14,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.9302,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20424,19.797,0.7047,0.7638,0.0207,0.0971,18.96,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8884,10,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20425,56.211,0.6555,0.5118,0.0193,0.1779,33.35,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.9066,7,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20426,61.662,0.2559,0.0461,0.0809,0.5766,14.79,Natural,Organic,No,0,0.01,98,LOW,Authentic Voice Content
AUD-20427,26.465,0.6701,0.7356,0.03,0.137,24.16,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.9025,17,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20428,37.695,0.6076,0.688,0.0266,0.0757,28.75,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.8866,12,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20429,117.634,0.1502,0.1847,0.098,0.4343,16.09,Natural,Organic,No,0,0.0433,97,LOW,Authentic Voice Content
AUD-20430,34.564,0.5904,0.7642,0.0441,0.1071,27.1,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.9348,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20431,52.601,0.5318,1.0,0.0074,0.1387,27.09,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8583,10,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20432,41.23,0.6437,0.9248,0.0213,0.0974,30.87,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.8578,16,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20433,47.979,0.9683,0.6209,0.0097,0.1032,25.86,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.99,11,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20434,66.018,0.679,0.9271,0.0221,0.0996,24.81,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.7512,30,HIGH,Synthetic Voice / Deepfake Audio
AUD-20435,74.918,0.1912,0.2536,0.0646,0.39,19.79,Natural,Organic,No,0,0.1146,87,LOW,Authentic Voice Content
AUD-20436,68.917,0.3429,0.1477,0.0525,0.2833,19.87,Natural,Organic,No,0,0.0582,93,LOW,Authentic Voice Content
AUD-20437,83.439,0.1195,0.1428,0.0992,0.5383,17.02,Natural,Organic,No,0,0.1308,87,LOW,Authentic Voice Content
AUD-20438,41.19,0.2502,0.8971,0.0458,0.1186,26.39,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8072,11,HIGH,Synthetic Voice / Deepfake Audio
AUD-20439,57.285,0.6973,0.7572,0.0319,0.131,26.73,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.894,7,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20440,55.617,0.7896,0.7317,0.0329,0.1087,37.47,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.9433,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20441,124.509,0.3353,0.1412,0.0943,0.52,16.54,Natural,Organic,No,0,0.0963,95,LOW,Authentic Voice Content
AUD-20442,116.695,0.1256,0.1696,0.0612,0.5587,10.23,Natural,Organic,No,0,0.0298,99,LOW,Authentic Voice Content
AUD-20443,97.582,0.1507,0.0338,0.0924,0.5112,17.66,Natural,Organic,No,0,0.1179,90,LOW,Authentic Voice Content
AUD-20444,121.866,0.1144,0.2419,0.1185,0.3621,14.62,Natural,Organic,No,0,0.01,97,LOW,Authentic Voice Content
AUD-20445,117.093,0.253,0.053,0.088,0.2847,18.14,Natural,Organic,No,0,0.01,94,LOW,Authentic Voice Content
AUD-20446,88.267,0.1544,0.1265,0.0796,0.5323,20.52,Natural,Organic,No,0,0.01,95,LOW,Authentic Voice Content
AUD-20447,118.896,0.0394,0.155,0.0795,0.5903,18.64,Natural,Organic,No,0,0.0451,99,LOW,Authentic Voice Content
AUD-20448,64.795,0.5069,0.7575,0.0264,0.1333,33.69,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.9193,11,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20449,25.625,0.5996,0.6781,0.0281,0.0982,28.46,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.901,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20450,95.283,0.3346,0.0363,0.1174,0.4992,16.12,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20451,78.598,0.2356,0.0,0.0614,0.4823,12.6,Natural,Organic,No,0,0.0729,97,LOW,Authentic Voice Content
AUD-20452,22.778,0.6444,0.602,0.0241,0.1379,21.43,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8296,15,HIGH,Synthetic Voice / Deepfake Audio
AUD-20453,40.228,0.6086,0.6327,0.0189,0.0715,35.92,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.8888,9,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20454,39.72,0.6158,0.6071,0.0253,0.1713,28.73,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.9639,11,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20455,39.606,0.5693,0.7296,0.0243,0.1633,26.34,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.9406,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20456,76.497,0.2385,0.1323,0.0935,0.6056,13.93,Natural,Organic,No,0,0.0949,91,LOW,Authentic Voice Content
AUD-20457,46.658,0.6729,0.7151,0.0205,0.1916,33.72,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.9145,12,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20458,135.225,0.2438,0.2803,0.081,0.2724,14.94,Natural,Organic,No,0,0.0332,96,LOW,Authentic Voice Content
AUD-20459,31.921,0.6683,0.7269,0.0129,0.0854,25.21,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.99,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20460,45.531,0.4213,0.1331,0.0672,0.383,20.35,Natural,Organic,No,0,0.0692,97,LOW,Authentic Voice Content
AUD-20461,53.751,0.473,0.4209,0.0278,0.0745,23.16,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.8132,16,HIGH,Synthetic Voice / Deepfake Audio
AUD-20462,77.26,0.2506,0.2693,0.0336,0.3681,16.63,Natural,Organic,No,0,0.01,97,LOW,Authentic Voice Content
AUD-20463,63.149,0.7065,1.0,0.0311,0.072,28.22,Synthetic Phase,Synthetic Floor,Yes (Neural Vocoder),1,0.9199,11,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20464,42.969,0.8443,0.5453,0.0208,0.1515,21.82,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.7872,25,HIGH,Synthetic Voice / Deepfake Audio
AUD-20465,41.367,0.7422,0.6748,0.0219,0.1123,28.83,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9484,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20466,101.383,0.0113,0.094,0.0933,0.3371,15.77,Natural,Organic,No,0,0.01,96,LOW,Authentic Voice Content
AUD-20467,34.762,0.6129,0.639,0.0106,0.0217,31.63,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.9165,9,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20468,86.088,0.2669,0.0968,0.1111,0.424,14.46,Natural,Organic,No,0,0.0539,91,LOW,Authentic Voice Content
AUD-20469,48.67,0.6593,0.7321,0.0352,0.0008,29.67,Anomalous Harmonic,Synthetic Floor,Yes (Neural Vocoder),1,0.99,6,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20470,104.757,0.1503,0.1715,0.0571,0.5901,13.7,Natural,Organic,No,0,0.1586,88,LOW,Authentic Voice Content
AUD-20471,62.35,0.2357,0.2497,0.1221,0.4346,16.69,Natural,Organic,No,0,0.0808,96,LOW,Authentic Voice Content
AUD-20472,50.625,1.0,0.674,0.0321,0.1586,24.11,Vocoder Residual,Synthetic Floor,Yes (Neural Vocoder),1,0.8559,20,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20473,23.194,0.6889,0.5421,0.0168,0.1428,22.2,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.8667,10,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20474,93.882,0.1403,0.2534,0.0978,0.4932,19.51,Natural,Organic,No,0,0.0883,90,LOW,Authentic Voice Content
AUD-20475,36.63,0.7193,0.579,0.0234,0.2065,33.41,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.9747,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20476,98.808,0.301,0.165,0.0859,0.4469,21.33,Natural,Organic,No,0,0.062,91,LOW,Authentic Voice Content
AUD-20477,38.226,0.7677,0.5966,0.0271,0.1055,28.66,Anomalous Harmonic,Digital Void,Yes (Neural Vocoder),1,0.8765,20,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20478,14.841,0.6864,0.7019,0.0172,0.0802,31.76,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.99,8,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20479,22.168,0.7412,0.7766,0.0211,0.0975,28.18,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.9457,5,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20480,87.094,0.1324,0.1026,0.0862,0.3348,12.92,Natural,Organic,No,0,0.0187,97,LOW,Authentic Voice Content
AUD-20481,84.947,0.2652,0.2062,0.0399,0.412,17.52,Natural,Organic,No,0,0.01,99,LOW,Authentic Voice Content
AUD-20482,111.267,0.1964,0.1764,0.0899,0.7078,14.75,Natural,Organic,No,0,0.1152,89,LOW,Authentic Voice Content
AUD-20483,37.209,0.5947,0.8308,0.0281,0.119,26.16,Synthetic Phase,Artificial Dither,Yes (Neural Vocoder),1,0.8871,9,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20484,63.956,0.2645,0.0932,0.0609,0.5626,17.9,Natural,Organic,No,0,0.0743,90,LOW,Authentic Voice Content
AUD-20485,26.472,0.4502,0.9718,0.0142,0.1321,25.06,Vocoder Residual,Artificial Dither,Yes (Neural Vocoder),1,0.8158,17,HIGH,Synthetic Voice / Deepfake Audio
AUD-20486,97.306,0.2151,0.1263,0.097,0.2749,15.96,Natural,Organic,No,0,0.0928,86,LOW,Authentic Voice Content
AUD-20487,112.529,0.206,0.1717,0.0645,0.5535,20.4,Natural,Organic,No,0,0.0498,99,LOW,Authentic Voice Content
AUD-20488,37.974,0.5344,0.6444,0.0245,0.1238,33.48,Vocoder Residual,Digital Void,Yes (Neural Vocoder),1,0.7272,30,HIGH,Synthetic Voice / Deepfake Audio
AUD-20489,33.442,0.7599,0.8085,0.0185,0.0988,40.66,Synthetic Phase,Digital Void,Yes (Neural Vocoder),1,0.9781,4,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20490,131.349,0.3123,0.2529,0.0846,0.4139,12.54,Natural,Organic,No,0,0.0647,90,LOW,Authentic Voice Content
AUD-20491,47.74,0.5737,0.6962,0.0333,0.08,27.48,Anomalous Harmonic,Artificial Dither,Yes (Neural Vocoder),1,0.8997,8,CRITICAL,Synthetic Voice / Deepfake Audio
AUD-20492,97.872,0.2399,0.3246,0.0862,0.528,16.62,Natural,Organic,No,0,0.0613,99,LOW,Authentic Voice Content
